Year,Month,City1,City2,PaxToCity2,PaxFromCity2,Sector,Passengers,Airline
2024,3,ADAMPUR,HINDON AIRPORT,54,63,ADAMPUR-HINDON AIRPORT,117,All
2024,4,ADAMPUR,HINDON AIRPORT,1724,1559,ADAMPUR-HINDON AIRPORT,3283,All
2024,6,ADAMPUR,HINDON AIRPORT,1661,1424,ADAMPUR-HINDON AIRPORT,3085,All
2024,7,ADAMPUR,HINDON AIRPORT,1280,1214,ADAMPUR-HINDON AIRPORT,2494,All
2024,8,ADAMPUR,HINDON AIRPORT,1063,976,ADAMPUR-HINDON AIRPORT,2039,All
2024,9,ADAMPUR,HINDON AIRPORT,881,817,ADAMPUR-HINDON AIRPORT,1698,All
2024,10,ADAMPUR,HINDON AIRPORT,1561,1578,ADAMPUR-HINDON AIRPORT,3139,All
2024,11,ADAMPUR,HINDON AIRPORT,1670,1528,ADAMPUR-HINDON AIRPORT,3198,All
2024,12,ADAMPUR,HINDON AIRPORT,1709,2018,ADAMPUR-HINDON AIRPORT,3727,All
2025,1,ADAMPUR,HINDON AIRPORT,1431,1317,ADAMPUR-HINDON AIRPORT,2748,All
2025,2,ADAMPUR,HINDON AIRPORT,1686,1653,ADAMPUR-HINDON AIRPORT,3339,All
2025,3,ADAMPUR,HINDON AIRPORT,1902,1839,ADAMPUR-HINDON AIRPORT,3741,All
2024,1,AGARTALA,AHMEDABAD,359,147,AGARTALA-AHMEDABAD,506,All
2024,2,AGARTALA,AHMEDABAD,329,284,AGARTALA-AHMEDABAD,613,All
2024,3,AGARTALA,AHMEDABAD,297,244,AGARTALA-AHMEDABAD,541,All
2024,10,AGARTALA,AHMEDABAD,34,24,AGARTALA-AHMEDABAD,58,All
2024,11,AGARTALA,AHMEDABAD,172,155,AGARTALA-AHMEDABAD,327,All
2024,12,AGARTALA,AHMEDABAD,96,368,AGARTALA-AHMEDABAD,464,All
2025,3,AGARTALA,AHMEDABAD,108,167,AGARTALA-AHMEDABAD,275,All
2024,7,AGARTALA,AIZAWL,176,0,AGARTALA-AIZAWL,176,All
2024,1,AGARTALA,BENGALURU,4757,5866,AGARTALA-BENGALURU,10623,All
2024,2,AGARTALA,BENGALURU,3919,3978,AGARTALA-BENGALURU,7897,All
