Month,Airline,Market_Share
2021-01,IndiGo,1.06%
2022-01,IndiGo,2.49%
2023-01,IndiGo,0.00%
2024-01,IndiGo,0.00%
2025-01,IndiGo,0.00%
2015-01,IndiGo,14.40%
2016-01,IndiGo,14.58%
2017-01,IndiGo,16.66%
2018-01,IndiGo,16.62%
2019-01,IndiGo,19.34%
2020-01,IndiGo,20.26%
2021-01,IndiGo,24.67%
2022-01,IndiGo,23.34%
2023-01,IndiGo,22.93%
2024-01,IndiGo,24.86%
2025-01,IndiGo,26.79%
2015-01,IndiGo,0.90%
2016-01,IndiGo,0.75%
2016-01,IndiGo,0.00%
2017-01,IndiGo,0.84%
2017-01,IndiGo,0.00%
2018-01,IndiGo,1.17%
2019-01,IndiGo,1.81%
2020-01,IndiGo,2.49%
2020-01,IndiGo,0.02%
2021-01,IndiGo,0.04%
2022-01,IndiGo,0.02%
2023-01,IndiGo,2.74%
2023-01,IndiGo,0.09%
2024-01,IndiGo,3.26%
2024-01,IndiGo,0.08%
2025-01,IndiGo,3.87%
2025-01,IndiGo,0.01%
2021-02,IndiGo,1.07%
2022-02,IndiGo,2.05%
2023-02,IndiGo,0.00%
2024-02,IndiGo,0.00%
2025-02,IndiGo,0.00%
2015-02,IndiGo,14.98%
2016-02,IndiGo,15.35%
2017-02,IndiGo,16.74%
2018-02,IndiGo,16.93%
2019-02,IndiGo,19.86%
2020-02,IndiGo,20.73%
2021-02,IndiGo,24.72%
2022-02,IndiGo,22.33%
2023-02,IndiGo,23.63%
2024-02,IndiGo,24.94%
2025-02,IndiGo,26.46%
2015-02,IndiGo,0.80%
2016-02,IndiGo,0.75%
2016-02,IndiGo,0.00%
2017-02,IndiGo,0.82%
2017-02,IndiGo,0.00%
2018-02,IndiGo,1.12%
2019-02,IndiGo,1.76%
2020-02,IndiGo,2.17%
2020-02,IndiGo,0.02%
2021-02,IndiGo,0.04%
2022-02,IndiGo,0.02%
2023-02,IndiGo,2.67%
2023-02,IndiGo,0.09%
2024-02,IndiGo,3.17%
2024-02,IndiGo,0.08%
2025-02,IndiGo,3.67%
2025-02,IndiGo,0.04%
2021-03,IndiGo,1.22%
2022-03,IndiGo,1.88%
2024-03,IndiGo,0.00%
2025-03,IndiGo,0.00%
2015-03,IndiGo,14.62%
2016-03,IndiGo,15.89%
2017-03,IndiGo,16.79%
2018-03,IndiGo,16.68%
2019-03,IndiGo,21.51%
2020-03,IndiGo,21.85%
2021-03,IndiGo,24.20%
2022-03,IndiGo,23.65%
2023-03,IndiGo,23.94%
2024-03,IndiGo,25.11%
2025-03,IndiGo,26.59%
2015-03,IndiGo,0.84%
2016-03,IndiGo,0.80%
2016-03,IndiGo,0.00%
2017-03,IndiGo,0.94%
2017-03,IndiGo,0.00%
2018-03,IndiGo,1.15%
2019-03,IndiGo,2.01%
2020-03,IndiGo,1.49%
2020-03,IndiGo,0.02%
2021-03,IndiGo,0.01%
2022-03,IndiGo,0.31%
2022-03,IndiGo,0.02%
2023-03,IndiGo,2.73%
2023-03,IndiGo,0.09%
2024-03,IndiGo,3.14%
2024-03,IndiGo,0.08%
2025-03,IndiGo,3.68%
2025-03,IndiGo,0.05%
2021-04,IndiGo,1.38%
2022-04,IndiGo,0.01%
2024-04,IndiGo,0.00%
2025-04,IndiGo,0.00%
2015-04,IndiGo,15.37%
2016-04,IndiGo,16.05%
2017-04,IndiGo,17.45%
2018-04,IndiGo,16.85%
2019-04,IndiGo,23.01%
2021-04,IndiGo,24.28%
2022-04,IndiGo,24.73%
2023-04,IndiGo,24.48%
2024-04,IndiGo,25.29%
2025-04,IndiGo,26.39%
2015-04,IndiGo,0.85%
2016-04,IndiGo,0.74%
2016-04,IndiGo,0.00%
2017-04,IndiGo,1.02%
2017-04,IndiGo,0.00%
2018-04,IndiGo,1.17%
2019-04,IndiGo,2.12%
2021-04,IndiGo,0.02%
2022-04,IndiGo,1.88%
2022-04,IndiGo,0.02%
2023-04,IndiGo,2.68%
2023-04,IndiGo,0.09%
2024-04,IndiGo,3.20%
2024-04,IndiGo,0.09%
2025-04,IndiGo,3.82%
2025-04,IndiGo,0.05%
2021-05,IndiGo,1.32%
2022-05,IndiGo,0.00%
2023-05,IndiGo,0.00%
2024-05,IndiGo,0.00%
2015-05,IndiGo,15.85%
2016-05,IndiGo,16.10%
2017-05,IndiGo,17.55%
2018-05,IndiGo,17.38%
2019-05,IndiGo,22.87%
2020-05,IndiGo,20.67%
2021-05,IndiGo,25.55%
2022-05,IndiGo,24.08%
2023-05,IndiGo,25.98%
2024-05,IndiGo,25.83%
2015-05,IndiGo,0.84%
2016-05,IndiGo,0.71%
2016-05,IndiGo,0.00%
2017-05,IndiGo,1.02%
2017-05,IndiGo,0.00%
2018-05,IndiGo,1.20%
2019-05,IndiGo,1.85%
2020-05,IndiGo,0.15%
2021-05,IndiGo,0.02%
2022-05,IndiGo,2.32%
2022-05,IndiGo,0.10%
2023-05,IndiGo,2.98%
2023-05,IndiGo,0.09%
2024-05,IndiGo,2.83%
2024-05,IndiGo,0.01%
2020-06,IndiGo,1.88%
2021-06,IndiGo,0.91%
2022-06,IndiGo,0.01%
2024-06,IndiGo,0.00%
2015-06,IndiGo,31.30%
2016-06,IndiGo,31.65%
2017-06,IndiGo,34.73%
2018-06,IndiGo,34.99%
2019-06,IndiGo,41.77%
2020-06,IndiGo,49.03%
2021-06,IndiGo,25.86%
2022-06,IndiGo,24.13%
2023-06,IndiGo,26.53%
2024-06,IndiGo,25.13%
2015-06,IndiGo,1.71%
2016-06,IndiGo,1.43%
2016-06,IndiGo,0.00%
2017-06,IndiGo,2.02%
2017-06,IndiGo,0.00%
2018-06,IndiGo,2.38%
2019-06,IndiGo,3.67%
2020-06,IndiGo,0.21%
2021-06,IndiGo,0.01%
2022-06,IndiGo,2.73%
2022-06,IndiGo,0.12%
2023-06,IndiGo,3.18%
2023-06,IndiGo,0.10%
2024-06,IndiGo,3.42%
2024-06,IndiGo,0.02%
2020-07,IndiGo,1.52%
2021-07,IndiGo,0.97%
2022-07,IndiGo,0.01%
2024-07,IndiGo,0.00%
2015-07,IndiGo,14.59%
2016-07,IndiGo,16.51%
2017-07,IndiGo,16.28%
2018-07,IndiGo,18.07%
2019-07,IndiGo,22.21%
2020-07,IndiGo,26.62%
2021-07,IndiGo,27.69%
2022-07,IndiGo,24.34%
2023-07,IndiGo,26.34%
2024-07,IndiGo,25.44%
