Month,Airline,Market_Share
2024-01,IndiGo,0.00%
2025-01,IndiGo,0.00%
2024-01,IndiGo,24.86%
2025-01,IndiGo,26.79%
2024-01,IndiGo,3.26%
2024-01,IndiGo,0.08%
2025-01,IndiGo,3.87%
2025-01,IndiGo,0.01%
2024-02,IndiGo,0.00%
2025-02,IndiGo,0.00%
2024-02,IndiGo,24.94%
2025-02,IndiGo,26.46%
2024-02,IndiGo,3.17%
2024-02,IndiGo,0.08%
2025-02,IndiGo,3.67%
2025-02,IndiGo,0.04%
2024-03,IndiGo,0.00%
2025-03,IndiGo,0.00%
2024-03,IndiGo,25.11%
2025-03,IndiGo,26.59%
2024-03,IndiGo,3.14%
2024-03,IndiGo,0.08%
2025-03,IndiGo,3.68%
2025-03,IndiGo,0.05%
2024-04,IndiGo,0.00%
2025-04,IndiGo,0.00%
2024-04,IndiGo,25.29%
2025-04,IndiGo,26.39%
2024-04,IndiGo,3.20%
2024-04,IndiGo,0.09%
2025-04,IndiGo,3.82%
2025-04,IndiGo,0.05%
2024-05,IndiGo,0.00%
2024-05,IndiGo,25.83%
2024-05,IndiGo,2.83%
2024-05,IndiGo,0.01%
2024-06,IndiGo,0.00%
2024-06,IndiGo,25.13%
2024-06,IndiGo,3.42%
2024-06,IndiGo,0.02%
2024-07,IndiGo,0.00%
2024-07,IndiGo,25.44%
2024-07,IndiGo,3.54%
2024-07,IndiGo,0.02%
2024-08,IndiGo,0.00%
2024-08,IndiGo,25.66%
2024-08,IndiGo,3.57%
2024-08,IndiGo,0.02%
2024-09,IndiGo,0.00%
2024-09,IndiGo,26.07%
2024-09,IndiGo,3.52%
2024-09,IndiGo,0.02%
2024-10,IndiGo,0.00%
2024-10,IndiGo,26.25%
2024-10,IndiGo,3.57%
2024-10,IndiGo,0.02%
2024-11,IndiGo,0.00%
2024-11,IndiGo,26.49%
2024-11,IndiGo,3.50%
2024-11,IndiGo,0.02%
2024-12,IndiGo,0.00%
2024-12,IndiGo,26.66%
2024-12,IndiGo,3.70%
2024-12,IndiGo,0.02%
